"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"K23270",6.434172158856,4.11697690753401,2.29450275316865,1.79427847791796,0.0727687315141914,0.145876285918671
"K06075",212.205539539897,-0.965669397790395,0.538731674345497,-1.79248676804382,0.0730550268748294,0.14637299259988
"K05841",3.84781783373076,5.8759800828955,3.2782738113158,1.79240064164654,0.0730688121000652,0.14637299259988
"K11184",49.4442212405119,2.06028083622518,1.14998089826345,1.79157831172356,0.0732005398441865,0.146560967185492
"K12140",85.929346474247,-1.55260291522188,0.866655495517058,-1.79148799407956,0.0732150195194992,0.146560967185492
"K17835",3.89728589230786,4.23000827097931,2.36142452493729,1.79129513829863,0.0732459458963517,0.14657045376542
"K19424",66.1666987093857,2.11545550016863,1.18144287771336,1.79056943003712,0.0733624163428808,0.146751052277021
"K02343",1519.91825696431,0.174670078770251,0.0975720214082101,1.79016562585587,0.0734272892953854,0.146828345189808
"K00737",2.41790130839136,3.01150718709175,1.68250329117075,1.78989675853545,0.0734705100514693,0.146862301699312
"K03151",626.297494432411,0.508040082490378,0.283915771544137,1.7894042297379,0.0735497386364458,0.146968185343873
"K18344",43.3352840549696,2.0268607876985,1.13300230013292,1.78892910231579,0.0736262342204544,0.147066599138908
"K17836",1091.34070768879,0.488116914688248,0.272878216834234,1.78877200368385,0.0736515414304735,0.147066599138908
"K01759",461.886669677757,-0.527503849034939,0.294994166007214,-1.78818400436447,0.073746326100155,0.147203347782656
"K16870",700.521749983459,1.16968111658458,0.654936022849616,1.78594713953176,0.074107817395362,0.147872176100478
"K06941",1821.99908888469,0.151307212037448,0.0847564540591698,1.78519988497653,0.0742289006315623,0.148059049298468
"K22602",14.3157633070801,-2.75025290850353,1.54072100380745,-1.78504278302631,0.0742543775917096,0.148059049298468
"K12218",10.8021091872722,-3.65222505322319,2.04649011430685,-1.78462872978998,0.0743215581490257,0.148140228262143
"K01236",21.5027504925167,-1.89774237133542,1.06363154998395,-1.78421030418293,0.074389498577555,0.148222863488279
"K03727",450.655636564544,-0.749759353826233,0.42028906773896,-1.78391352851439,0.0744377172684265,0.148261064592546
"K08602",622.954600225714,0.604465485664946,0.338870338270318,1.78376628875308,0.0744616495568425,0.148261064592546
"K07454",344.456263347316,-1.0737339304325,0.602080030736003,-1.78337409583229,0.0745254271044171,0.148335282895954
"K01799",2.64682745019308,3.6826373811941,2.06562123096126,1.78282316525201,0.074615093594753,0.148460959420488
"K09962",76.5932371764986,-0.969989444087252,0.544223961858071,-1.78233505334008,0.0746946096724034,0.148566357617783
"K01246",1054.28352647838,-0.374573332643498,0.210329071675036,-1.78089186464068,0.0749301179110409,0.14898183657126
"K23723",20.7256804485965,-2.33581574532435,1.31311518012105,-1.77883538373916,0.0752667542617635,0.149598019745416
"K02795",594.058953383417,-0.578726986142034,0.325750960352345,-1.77659333840815,0.0756351724770476,0.150257292630959
"K21471",723.095618429143,0.649726553942533,0.365744663880184,1.77644848471496,0.0756590257060285,0.150257292630959
"K15633",988.443932792569,0.502186523697609,0.282716281603104,1.7762914850536,0.075684885958501,0.150257292630959
"K08605",1.48616310357992,-3.71816638127094,2.09336846016717,-1.77616432654862,0.0757058362014125,0.150257292630959
"K00153",1.32025431739829,-3.25178231236356,1.83110063378917,-1.77586215217157,0.0757556405051402,0.150302842930617
"K09988",198.684122456331,-1.14062366886594,0.642455590397001,-1.77541247350825,0.0758298059232482,0.150396677445932
"K03709",86.6422027146809,-0.716305936712076,0.404474350991805,-1.77095515440135,0.0765681594699732,0.151807293146808
"K07161",3.19285894547196,5.90850474913683,3.33705236236311,1.7705759777029,0.0766312395880813,0.151878558064621
"K02172",770.727483622019,1.27425859684374,0.720250925744743,1.76918703093114,0.0768626677639266,0.15228331025653
"K00979",551.257229183566,-0.591930578197737,0.3347977677355,-1.76802426790784,0.0770568467153918,0.152564747139644
"K03565",1443.08114880185,0.160617931275022,0.0908467334108232,1.76800997949681,0.0770592353338885,0.152564747139644
"K01200",835.277162639307,0.584610195355555,0.330891430066301,1.76677345568731,0.0772661758485701,0.152920362879932
"K02451",39.0462166452772,-2.17133424513565,1.22949089396108,-1.76604337274936,0.0773885725588425,0.153108462570464
"K03442",551.961380694552,0.588641789986935,0.333483943391646,1.76512783194371,0.0775422840477711,0.153358361772217
"K23997",1109.92265953545,-0.172092662779841,0.097572886019573,-1.76373447378936,0.0777766941658211,0.153767628840021
"K12205",9.39067865833167,-3.83724858263101,2.17621582288395,-1.76326655760909,0.0778555428645438,0.153869164340696
"K01607",1155.01185577878,0.497091282521556,0.282213967113309,1.76139858564113,0.0781709642634907,0.154390939366947
"K01624",3524.5749903368,-0.266518430676386,0.151312596160271,-1.76137636548175,0.0781747225595723,0.154390939366947
"K02478",275.96924173893,-0.881357461102824,0.500688300127107,-1.76029170419816,0.0783583600286701,0.15464487686699
"K05791",1.39103558782453,-3.59698074830964,2.04340176888349,-1.76029051314516,0.0783585618714996,0.15464487686699
"K00059",1907.62641449824,0.280652178922598,0.159601715875574,1.75845339370534,0.0786703950026963,0.155205569555901
"K03388",46.0691988041277,2.13653478758459,1.21586428289662,1.7572148615918,0.0788811930490287,0.155524956161218
"K02520",1373.42307733299,0.148303941959563,0.0844056751111682,1.75703756606693,0.078911406292589,0.155524956161218
"K11963",282.354774706185,-1.78974822976402,1.01863136435984,-1.75701268622216,0.078915646864009,0.155524956161218
"K01161",7.49226191109131,1.81350803654556,1.0327455351543,1.75600665876963,0.0790872715886384,0.155808327730239
"K04028",352.30371931596,-0.79707539968929,0.453991610949037,-1.75570512861033,0.0791387706580349,0.155854925887763
"K25496",5.97118679289544,3.39052039741476,1.93151402434299,1.75536928786631,0.079196161817998,0.155855769519146
"K12204",11.1666469694137,-3.62078942651505,2.0630438185512,-1.75507150839763,0.0792470770690595,0.155855769519146
"K06885",192.004919797917,0.712368142981144,0.405899457290316,1.75503595825611,0.0792531573200781,0.155855769519146
"K18908",13.6769900204383,-1.56616663929176,0.892427936180391,-1.75495026074036,0.0792678159916747,0.155855769519146
"K00765",1461.88556205888,-0.230258851418443,0.131209982260446,-1.75488821392711,0.0792784305558349,0.155855769519146
"K18650",15.9113707416974,2.02098047686451,1.15182953457044,1.75458296232889,0.0793306678408415,0.155903703618395
"K00018",377.947864803903,1.02199990045198,0.582863669723861,1.75341156695556,0.0795313869588367,0.156243303899126
"K12940",194.678400212365,-0.864534157975306,0.493581759060119,-1.75155208251933,0.0798508581867222,0.156779139910904
"K07321",152.314381953726,1.73241194937902,0.989196542883635,1.75133239379186,0.0798886708995421,0.156779139910904
"K03150",887.240092506878,0.483641112170821,0.276180517550113,1.75117751411652,0.079915337456178,0.156779139910904
"K13051",542.348859275985,-0.587082215662464,0.335250915764732,-1.75117259358796,0.0799161847714505,0.156779139910904
"K04564",633.947640682845,-0.442820004491036,0.25343097089411,-1.74730027245194,0.08058526586442,0.158036346546306
"K01567",187.484412594911,1.29246087117765,0.740041079145891,1.74647179406489,0.0807290041305041,0.158262779726246
"K07271",791.760012771565,0.78304529330935,0.448852894849362,1.74454771773756,0.0810636283303761,0.158838385341027
"K00656",1910.83889340145,-0.147521694034485,0.0845659515998812,-1.74445732878966,0.0810793759012531,0.158838385341027
"K16921",180.189570177989,1.10671150721996,0.634545262411294,1.74410175724017,0.0811413477103342,0.158904171845606
"K09145",10.2643925390271,1.7998418776148,1.03217653652797,1.7437345395092,0.0812053896610951,0.158973964999353
"K10213",43.4002199964335,-1.6344360201509,0.938028037526136,-1.74241702248197,0.0814354994204909,0.159368702886884
"K03702",1326.64731614747,0.214894125021427,0.123434003071165,1.74096375127307,0.0816899326456619,0.159810749045009
"K25654",1.63576917525855,-2.07708080428579,1.19498870268731,-1.73815936469927,0.0821827369802616,0.160718650900952
"K02769",276.80389613285,-0.938435210121563,0.54008269061133,-1.73757690523155,0.0822853921441886,0.160862419657003
"K09706",68.7528397042613,2.06728434649242,1.18992208102353,1.73732749350631,0.0823293813211697,0.160862419657003
"K10238",21.4600989362083,2.00266700457378,1.15277779744587,1.73725327553234,0.0823424749539601,0.160862419657003
"K00980",223.210047373736,0.794681704508214,0.457670303241239,1.73636283342014,0.0824996996079323,0.161113335207815
"K19229",16.7886976795546,-1.47397270893011,0.850814858343702,-1.73242473903138,0.0831979664114696,0.162420306245202
"K03208",248.137695376397,-0.93815448861291,0.541678480336137,-1.73193974409089,0.0832842914307723,0.162532140564168
"K19129",12.0078182506761,-2.11973793534208,1.22425669372462,-1.73144892423915,0.0833717270894662,0.162646063617895
"K03742",569.142975823872,0.399681780680495,0.231047566048348,1.72986795540127,0.0836538697027906,0.163139619765338
"K10040",159.059653790377,0.836535933101698,0.484245673283791,1.72750316472409,0.0840773373072112,0.163908344447392
"K15577",31.35141479393,-1.9536374946196,1.13118584041969,-1.72707032285231,0.0841550346753187,0.164002691183064
"K00111",693.13771219418,-0.546680964536511,0.31657919737734,-1.72683792575576,0.0841967751347955,0.164026923226401
"K15373",22.9194342561836,-2.14177013761773,1.24045432100989,-1.72660137607812,0.0842392786385957,0.16403572001734
"K21285",7.29252769864342,-2.05142100466883,1.18820556900048,-1.72648660988392,0.0842599062086571,0.16403572001734
"K19084",169.747689061721,0.676102446396398,0.391965362832664,1.72490355145242,0.0845448554515381,0.164533225299812
"K14475",66.4649019143743,1.3239440455539,0.768415726773844,1.72295282283252,0.0848970567898087,0.165161218926854
"K25062",6.0899341945824,2.38133441094899,1.38292516084261,1.72195464973539,0.0850777339868871,0.165455204004381
"K02119",352.529609859096,0.84850714876944,0.493230585931314,1.72030521417745,0.0853769761545078,0.165979484382348
"K03366",76.3113993405145,1.34351336721587,0.781253194656922,1.71969007794695,0.0854887923580248,0.166139156537453
"K06404",161.389905200155,1.65770720345314,0.965056354923846,1.71773098534122,0.0858456948821414,0.166774853958815
"K23264",64.1493223232227,-0.904297928631544,0.526804028746135,-1.71657367690201,0.0860570954942531,0.167107747296494
"K15538",2.71691528745521,5.26919497779341,3.06979257081898,1.71646613125644,0.0860767617394661,0.167107747296494
"K00020",320.241872375244,-0.552494639616128,0.32216272256573,-1.7149552102615,0.0863534390694966,0.167409091112012
"K01358",2570.3245655808,-0.219976024471131,0.128270461474867,-1.71493905878114,0.0863564005772619,0.167409091112012
"K00053",2565.44724759899,-0.262551247664302,0.153101475981409,-1.71488384407335,0.0863665252710334,0.167409091112012
"K08156",655.649200706017,-0.354186588993715,0.206549128339242,-1.71478132995066,0.0863853257776828,0.167409091112012
"K25007",35.2555828365102,2.18392598678371,1.27363730781696,1.71471577770206,0.0863973494194576,0.167409091112012
"K02417",221.634580884034,-1.08664323141969,0.633744639129844,-1.71463893234931,0.0864114461716284,0.167409091112012
"K00281",383.410348411357,-0.776097300994028,0.45278573533514,-1.7140498041962,0.0865195794046926,0.167560583366112
"K06880",65.9657149775116,2.41030276125916,1.40706666669735,1.71299826675347,0.0867128584605441,0.167876813837311
"K03979",1665.87971097255,-0.128662522033784,0.0751302255071779,-1.71252676489693,0.0867996365346298,0.167986710125976
"K13633",204.057917675676,-1.29955901284425,0.760737971766757,-1.7082872961187,0.0875830473576112,0.169444284846371
"K18986",30.2229226943091,1.74888297716636,1.02431866328728,1.70736221046073,0.0877547496910728,0.169717807194518
"K09762",1083.8536127615,0.291081209261806,0.170504339599631,1.70717771726695,0.0877890253639874,0.169725449037042
"K02298",3.23375172221061,-2.69970460244916,1.58169342680829,-1.70684442173912,0.0878509733332865,0.169756116740282
"K06958",1381.31594970528,-0.17934818583914,0.105080709408671,-1.70676603582523,0.0878655476499191,0.169756116740282
"K08092",182.238446528471,-1.12562449388717,0.659948935629615,-1.70562362194476,0.088078178400502,0.170108200313185
