"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"K03101",1582.31176421604,-0.0552800947638857,0.130505734913216,-0.423583644049406,0.671869485671932,0.815989074704849
"K04651",272.03524575888,0.21156521756986,0.499614281797591,0.423457105366678,0.671961788238381,0.815989074704849
"K10008",317.562346295526,0.226113635415103,0.535845686565615,0.421975283340114,0.673043058492643,0.817100796874442
"K01047",1.64701922152239,-0.779698511508652,1.84943240486094,-0.421588001518378,0.67332576560267,NA
"K10555",25.4801842977453,-0.371597197050773,0.882091524047846,-0.421268300306916,0.67355917515505,0.817526021753076
"K03430",299.034623955279,0.18362918252233,0.436580543612757,0.420607801261083,0.674041496166122,0.817910028213397
"K03446",54.0620129135806,-0.372024087453774,0.886136771348389,-0.419826938100858,0.674611884394303,0.818391063200202
"K06937",14.7589553954274,0.400407145297145,0.954538521757009,0.419477198845909,0.674867415106024,0.818391063200202
"K22905",239.948393909138,0.388991722317322,0.927994633431887,0.419174538627193,0.675088578626156,0.818391063200202
"K09961",51.4569437703596,-0.399515997394467,0.953339848661321,-0.419069860507213,0.675165076814266,0.818391063200202
"K01872",2066.40984408228,0.0295223476116878,0.0704710223025933,0.418928896545912,0.675268097795744,0.818391063200202
"K14113",14.360260244956,-0.454360374641537,1.08544967072331,-0.418591839766064,0.67551445435708,0.818488383855961
"K07233",0.300188083714605,-1.26376086110366,3.02647525510381,-0.417568542472788,0.676262600562933,NA
"K18369",198.507808477412,0.245661325695403,0.588432812990387,0.417484070011263,0.676324373794289,0.819268330899987
"K00016",963.161637939408,-0.104718827277146,0.251124058796787,-0.417000377338941,0.676678131712799,0.819361737919985
"K14623",499.623392535027,-0.151649521917638,0.36373415169764,-0.416924067233859,0.676733949091552,0.819361737919985
"K16043",1.05526949543851,-1.16021227200417,2.78298981995462,-0.416894184694892,0.676755807296564,NA
"K24620",1.49631121658975,1.00283533446136,2.40853985212813,0.416366510844851,0.677141830159848,NA
"K21585",0.188836819255939,1.26414052459298,3.03762819068271,0.416160387393843,0.677292644007967,NA
"K09000",0.191970295446013,1.26414052459297,3.03762819068271,0.416160387393842,0.677292644007967,NA
