featureid	rab.all	rab.win.M05	rab.win.M06	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
Oribacterium	0.311823159280689	0.149814757142501	0.492013720758182	0.3181978858789	4.27055355614649	0.0686391077962502	0.463362069856628	0.536436332000441	0.924696904428719	0.546070980043846	0.9214318488872
Saccharimonadales	1.42198170509002	1.29703345491991	1.54715090161131	0.544968264827247	5.01154991000365	0.0946480165786984	0.457974138954936	0.574785933867349	0.942819611686487	0.588596173536135	0.946438164420858
Capnocytophaga	0.149089026868509	0.238324426140508	0.0715113467827928	-0.155661869099457	4.25740499802473	-0.0296653920889317	0.483575660063459	0.45571364122375	0.912476143313796	0.462353739578963	0.918119568373699
Rhodoferax	0.232535506692481	0.430314005055858	0.0349102508677284	-0.384219166791815	4.2020182400626	-0.0834782101643785	0.457435345864806	0.506974247772398	0.924915480143518	0.494315634952319	0.918607764677794
Corynebacterium	0.745942334751412	0.832168410573848	0.638418043831448	-0.234331709142496	4.66965487744884	-0.04069284784528	0.480344642371246	0.553049596094079	0.931467952611278	0.578522834545099	0.940393961087966
unclassified_Opitutaceae	0.310153529272762	0.426612964713938	0.152736180067135	-0.351127395878541	4.37139783440832	-0.0673075940899567	0.46580506275806	0.489362867229391	0.926400801061684	0.498025722189886	0.933423875962404
Moraxella	0.292989303903256	0.0853946745084277	0.50513118993107	0.436804896372929	4.39197069064729	0.086808733627924	0.45341949494271	0.484223173998194	0.922301910985998	0.481869998270529	0.923625088738987
unclassified_Saprospiraceae	0.17799924894541	0.189779051130688	0.163696210375634	0.0557325631939118	4.18453065138698	0.0115153126368123	0.495150862186285	0.514816055116812	0.926317175649528	0.494402318151074	0.918628390135547
unclassified_Candidatus_Peribacteria	0.632741334462644	0.963072235667688	0.373858110217641	-0.725422189068599	4.49766853088243	-0.148660341043871	0.430263868169902	0.413980369878124	0.909133553781079	0.381832177232835	0.891180774419928
Arcicella	0.0575141019251246	0.15664688459057	-0.0109416274441125	-0.133655691577253	4.33174570432783	-0.0316737844861851	0.481681034926517	0.552546329274289	0.941415354467462	0.569719990400645	0.94318412017763
Methylotenera	0.155040063487272	0.15119468654985	0.155667160778903	-0.0494847389129953	4.15344736439462	-0.00934684183323054	0.493534482915057	0.492105630342948	0.929130685064526	0.537738808595959	0.924018553807502
unclassified_Gammaproteobacteria_Incertae_Sedis	0.136401620203947	0.112105376391778	0.160566128671757	0.0101101280518527	4.15009404794671	0.00255073176784188	0.499461206909586	0.462502016002511	0.917884800079096	0.486908872524217	0.922034371317585
unclassified_Arcobacteraceae	0.0647879595959076	0.126404270835554	-0.00233839027271276	-0.142143911540253	4.15863153556836	-0.0237733806327968	0.487883683653227	0.425637947401573	0.911580031593754	0.424883442446023	0.912535433995918
Luteolibacter	0.168980605151158	0.31461916587814	0.0497006404541764	-0.37595782164705	4.22152313108732	-0.0794346523091083	0.460420033272677	0.517014162974659	0.930285431673855	0.499263502722985	0.923814194209066
Lactococcus	0.0997475971320734	0.186102787724924	0.0273935371168506	-0.121731900973164	4.36956954513731	-0.0224761181635018	0.486268174807046	0.516159811712446	0.926856885947632	0.532181440382133	0.922307550397532
unclassified_Chitinophagales	0.127143545530033	0.295715269197578	-0.0580673460032548	-0.322711332207155	4.17022134459357	-0.0650566974644761	0.464978449127263	0.492789108531058	0.920857454862693	0.504178336543371	0.929891251123687
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.11615630477618	0.044232911359865	0.181155132042258	0.128535566169699	4.19444746047315	0.0269947695798944	0.4859913796495	0.518647393358163	0.938768864897602	0.527537875190089	0.925252130119704
Clostridium_sensu_stricto_1	0.166671772071682	0.058127522096985	0.290295978362964	0.305351312205699	4.36356921051383	0.0550018300814663	0.469574583398181	0.489907095898671	0.925510053045971	0.523752258946246	0.928704172511948
Stomatobaculum	0.179476584119441	0.110779570026886	0.282479172007374	0.222900044304194	4.34577753915801	0.0462556953348176	0.476036618781819	0.496210144431956	0.927273881172779	0.501946495084665	0.931403634898504
unclassified_Proteobacteria	0.120234425216317	0.216268371868868	0.0047655858710689	-0.200551859990851	4.22379824536717	-0.0331091235444991	0.481681034926517	0.50619976663941	0.923798108745542	0.501424746144687	0.918059808596657
Saccharimonadaceae_TM7a	0.407682125975492	0.349850862890666	0.453932927062525	0.217011842178715	4.6077863535836	0.0422961746533818	0.479525862565097	0.514404653595181	0.92188702988969	0.490228269913025	0.921906283087454
unclassified_Bacteria	0.321431423949106	0.18475302255235	0.471977692892804	0.438327508345752	4.4477644599137	0.0838914135724056	0.457435345864806	0.506713229106728	0.913118402438137	0.505919915825209	0.925530120289701
Bacteroides	0.234641594770093	0.331609261864681	0.124538286603237	-0.287826026560778	4.33538531368237	-0.0543149943480142	0.470366380029753	0.551390731649761	0.93581366834707	0.541070073893094	0.93145126689267
unclassified_Candidatus_Kaiserbacteria	0.263454752895543	0.418556217311824	0.119720094894283	-0.23760764637747	4.11914652558086	-0.0449636778905089	0.473344104038556	0.480450176436183	0.909892487211752	0.491502381575283	0.918411331099617
Anaerococcus	0.305983831072769	0.238627733714037	0.385553518767068	0.28141098865258	4.77312246349689	0.0539665077369562	0.470366380029753	0.509597760524047	0.919150580688974	0.536713188213004	0.919579416268483
Bradyrhizobium	0.33932097580675	0.476939737546114	0.185576307646509	-0.269807647202415	4.22804918300223	-0.0516997764546166	0.466594828397952	0.506011319507529	0.920429917124298	0.50793102943502	0.925963086579592
Lawsonella	0.161383400131948	0.0665279454104279	0.229531819060109	0.182319490040943	4.39048473652409	0.0318783172368264	0.483836207287987	0.533713101302605	0.938906812551649	0.550206877836686	0.94021477067177
Christensenellaceae_R-7_group	0.115098399326524	0.0337892406094493	0.246520601799421	0.129869710676409	4.19158691222779	0.0242277644124108	0.485452586559118	0.508523303705694	0.918208153339627	0.488610191957834	0.912304155741729
Mogibacterium	0.140198103723684	0.1597638951398	0.13076041764491	0.0631173557065967	4.224683180648	0.0133844126217774	0.493268713140615	0.483588323556006	0.9262119204421	0.534942580967921	0.9300480355826
unclassified_Sphingobacteriales_env.OPS_17	0.142565681349532	0.212623518068206	0.0317089079904322	-0.210899376774503	4.21234041605174	-0.0440015950012271	0.473599138571496	0.471590722013985	0.919503116006415	0.508655250556258	0.931771008190605
unclassified_Lactobacillales	0.161954870330885	0.266144820641252	0.0760005758995472	-0.268220919763198	4.56524057064012	-0.0548923979678535	0.473599138571496	0.474402339941469	0.920516885519577	0.485655289203375	0.908016712805899
Gracilibacteria	0.14274633347	0.169044837041651	0.117685756970028	-0.143221628893949	4.23108268015178	-0.0353042386807602	0.485452586559118	0.541272800449956	0.929686102444665	0.550958987745318	0.929927261722279
Intestinibacter	0.109089418955886	0.0982458751831574	0.121303609418249	-0.0187150449440967	4.40170356670701	-0.00375172458251562	0.496767241457519	0.526511574493342	0.927268512487461	0.532859729778475	0.928356116749087
Megasphaera	0.146705130974414	0.0203404274332	0.269304389617012	0.349609579644218	4.32120853544217	0.0687277249100681	0.464728056860934	0.467570675733183	0.912693210527477	0.461003399321961	0.91257828652113
Chthoniobacter	0.166717776655454	0.225129939000324	0.128330969471063	0.0314913578920679	4.20738969896908	0.00660617947902513	0.497576736730612	0.543045879720763	0.934205294306808	0.525190061023739	0.928623406772661
Solitalea	0.116560500798697	0.0250878431573485	0.172726257796835	0.216084985967735	4.36011398371196	0.0412573548273147	0.478729133525184	0.475782522353007	0.921727689969364	0.52120983885999	0.922852493903474
unclassified_Xanthomonadaceae	0.0449937704849459	0.113578558126475	-0.00893273730134858	-0.224109695534196	4.2034279271861	-0.0451222011925229	0.47521551784243	0.474131164403589	0.918507279871931	0.475651454087516	0.911012654348963
Paludibacter	0.0878596975695167	0.0442050032863905	0.133750210250056	0.034532928162549	4.20189687913988	0.0082049243478595	0.496499730833109	0.532312736636693	0.922802885874238	0.52979743215247	0.927055265061951
Stenotrophomonas	0.148667416363333	0.227950001062511	0.0608594574400252	-0.11129128714057	4.44345300348869	-0.0237394944364895	0.488685345101445	0.575671524619236	0.938984600279431	0.539883453600263	0.939688085795826
unclassified_Gammaproteobacteria	0.219721640996361	0.170007568825397	0.256472950211191	0.153357321436158	4.22897864763341	0.0325497996001909	0.481142241836158	0.444380276988887	0.910614628173216	0.469039236429582	0.915029778171949
Edaphobaculum	0.0339561212726576	-0.00608464227854899	0.0962321234701538	0.0487639890187612	4.27893104351717	0.0104491622650499	0.494884221986858	0.504005552889645	0.929341680307793	0.500236931794133	0.92769112417427
Clostridioides	0.122403289761661	0.13174673947815	0.109018561667436	-0.0887366652538066	4.08983194670039	-0.0163920408728469	0.491114701345641	0.496318486450764	0.922522987596306	0.503476716308756	0.918820845343832
unclassified_Yersiniaceae	0.0896073164119739	0.194997757947887	0.0119916101706075	-0.231173399401092	4.22587710818809	-0.0535806854014321	0.476036618781819	0.484501003991375	0.92203791068112	0.50515652041448	0.925960098712588
unclassified_Chitinophagaceae	0.168471572329675	0.188763142932966	0.143100939712529	-0.0303604734605845	4.25509146276401	-0.00643579857730068	0.496499730833109	0.533062747784567	0.936722166330756	0.529499284859373	0.935318797376009
Novosphingobium	0.12975089349663	0.176247515393156	0.0917298327103779	-0.0964184270752471	4.20446933879517	-0.0195956431930605	0.490576198396901	0.475635506410233	0.926326424035072	0.49709489664147	0.926982907309866
Hymenobacter	0.153890032003378	0.145628189315474	0.16097475863898	0.0555190972988946	4.1912050071229	0.0101313522222395	0.494884221986858	0.472019268995677	0.922382190797169	0.49051303412065	0.925356505130925
Chitinophaga	0.0624996668277662	0.082316658547577	0.0176745108300826	0.00998055623136995	4.21548942650297	0.00224115150346594	0.498115239679365	0.498413165249985	0.915657903019456	0.515800909057727	0.921041679933839
Fluviimonas	0.110510060117943	0.160102181086761	0.0581164559319181	-0.115577293851293	4.28651632899404	-0.0241107963469123	0.487883683653227	0.512942231790306	0.923015817937625	0.512822568536459	0.921553796672064
Roseburia	0.0926620417396045	0.178505127514153	0.00408721865715833	-0.124321145821208	4.21236829970362	-0.0256217545130418	0.486530172739885	0.509765275560391	0.92648798602197	0.508159489528744	0.92149274568004
Telmatocola	0.0759192412558614	0.0962058323474668	0.0480091450492921	-0.0870825242982995	4.23605453097844	-0.0134052151564302	0.492456896734244	0.539984129646029	0.930373515544599	0.543876993337575	0.928895642219991
unclassified_Rickettsiales_SM2D12	0.167663169386659	0.248847223667724	0.0936870874252804	-0.137774923033682	4.17797355932115	-0.028734497342386	0.481681034926517	0.52017634768834	0.941573286853788	0.533334706692634	0.933896826045924
unclassified_Micrococcaceae	0.198801182281666	0.125689944015201	0.257366150719944	0.158390686924345	4.16581352033563	0.0268452283421991	0.483297414197616	0.540961114547027	0.926265383854519	0.524501066343033	0.928697543432054
Bdellovibrio	0.102053624407878	0.112965116332747	0.0858516730933863	-0.0295492196469125	4.3267236714266	-0.00636480824550561	0.495689655276695	0.52886069863992	0.934046262168867	0.526939502669319	0.934497256610929
unclassified_Blastocatellaceae	0.15545169760175	0.369913507426412	-0.0882129647711851	-0.419939799274446	4.31497871673941	-0.0726464748924868	0.455035003787974	0.420138540024505	0.915091967894327	0.41311468806194	0.906053824575624
unclassified_Gemmataceae	0.116767917151929	0.0519525671707619	0.178672677969597	0.208344381113008	4.27624541099998	0.0397693444270043	0.475754310932749	0.477306633413982	0.918186977530597	0.495362149514592	0.918941897108488
Legionella	0.0932727552630812	0.150570409209732	0.0443067478498067	-0.0190570138057007	4.15768776679479	-0.00513344690929407	0.497306034547931	0.506427707550739	0.931307059071014	0.519152688192492	0.930626005433333
