OTU_ID	A_i26_S1	A_i04_S1	A_i26_S2	A_i27_S2	A_i04_S2	A_i08_S1	A_i28_S_M03	A_i29_S2	A_i28_S_M04	A_i09_S2	A_i26_S_M04	A_i26_S_M02	A_i15_S_M06	A_i24_S1	A_i04_S3	A_i29_S_M03	A_i11_S_M12	A_i24_S_M04	A_i01_S_M01	A_i16_S_M06	A_i26_S_M05	A_i26_S_M07	A_i24_S_M10	A_i22_S_M11	A_i26_S_M03	A_i28_S2	A_i10_S_M05	A_i24_S_M05	A_i06_S2	A_i16_S_M01	A_i26_S3	A_i01_S_M03	A_i06_S1	A_i05_S3	A_i27_S_M04	A_i04_S_M04	A_i09_S3	A_i29_S_M02	A_i31_S_M04	A_i31_S_M08	A_i28_S_M05	A_i24_S_M03	A_i28_S_M12	A_i10_S_M09	A_i14_S_M04	A_i25_S1	A_i18_S2	A_i30_S3	A_i02_S_M10	A_i10_S_M07	A_i21_S1	A_i16_S_M09	A_i20_S3	A_i19_S_M06	A_i31_S_M05	A_i26_S_M01	A_i19_S_M08	A_i09_S_M12-1	A_i32_S_M11	A_i26_S_M08	A_i12_S2	A_i01_S_M08	A_i32_S2	A_i09_S_M08	A_i32_S3	A_i31_S1	A_i01_S_M06	A_i31_S2	A_i31_S3	A_i06_S3	A_i24_S_M02	A_i18_S_M10	A_i25_S3	A_i03_S_M09	A_i01_S_M02	A_i22_S2	A_i06_S_M12	A_i08_S2	A_i05_S_M12	A_i03_S_M08	A_i26_S_M10	A_i07_S2	A_i25_S_M09	A_i23_S2	A_i30_S1	A_i16_S_M04	A_i27_S_M10	A_i30_S2	A_i12_S_M07	A_i18_S_M07	A_i10_S2	A_i05_S2	A_i08_S3	A_i23_S_M09	A_i14_S2	A_i14_S1	A_i29_S_M09	A_i18_S_M02	A_i12_S_M01	A_i04_S_M12	A_i24_S2	A_i07_S1	A_i07_S_M11	A_i18_S_M01	A_i03_S_M11	A_i11_S_M11	A_i18_S_M05	A_i24_S_M09	A_i09_S_M09	A_i12_S_M08	A_i01_S_M10	A_i23_S_M06	A_i30_S_M05	A_i31_S_M07	A_i09_S_M12-2	A_i21_S3	A_i01_S1	A_i08_S_M04	A_i32_S_M03	A_i05_S_M03	A_i22_S_M08	A_i27_S_M08	A_i07_S_M09	A_i25_S2	A_i05_S_M08	A_i32_S_M08	A_i32_S_M10	A_i02_S2	A_i19_S_M09	A_i29_S3	A_i04_S_M01	A_i08_S_M09	A_i14_S_M11	A_i27_S1
63e37c5bbd8782c760426391d6e20edc	0	0	0	0	0	0	0	0	0	21.26431343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.17107309	0	0	0	0	0	0	0	16.7509837	0	0	0	0	0	0	0	0	0	0	0	0	0	32.3342416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75.69060773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.66666667	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0
166f13dad64499dfc9abfbfcc0929fc4	0	0	0	0	0	0	0	0	0	39.33945301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
165cbcee98dbf01e2115ce2442e04b09	0	0	0	0	0	0	0	2.674800563	0	0	0	0	0	5.54036552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.42351047	0	0	0	0	22.06208426	0	0	0	0	0	0	0	0	0	35.42713568	0	0	0	0	95.36423841	0	86.48648649	0	0	0	0	0	0	0	0	0	0	0	0	0	34.97757848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eb3ca824d45be7f6264e42b2883b6ec5	0	11.11919085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d4c1dc707b918383b6f93fdc7dbe18fb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.33729216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.91891892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14c002879b2880f1c165e86de7ce42f8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86.74335798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c672c8c720811f53fc8f86189af406ee	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.0112298	0	0	0	0	0	0	0	0	0	0	0	0	15.94202899	0	0	0	0	36.03104213	0	0	0	0	0	0	0	0	0	0	0	48.2791587	0	58.7075575	0	0	0	59.12938331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cca423e1a0fd0f6b639c96edc9704445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.29930888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d6e17617d4b20a7e9f979d0f4f1c11fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86.8940754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2f61989d2aadb4a22a18d39db71d2d97	0	0	0	0	0	0	14.15394935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a3fe6144bb655c43f48abfa8bc92709d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.32134293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0
